scenario,window_id,time_min,day0_6,q,coverage,risk_proxy,x_hat,U,fixed_threshold,adaptive_threshold,fixed_alert,adaptive_alert,request_more_data,request_confirmation,policy,true_risk,true_low_quality
low_quality_artifact,240,98.193044198808,2.46470925940293,0.808056526806527,0.916666666666667,0.862870334044639,0.448024319510826,0.179071359771582,0.62,0.604689805910868,1,0,0,1,request_confirmation,0,1
low_quality_artifact,241,98.6044863883234,2.47503813250848,0.642291666666667,0.8,0.984958802074025,0.59675451468217,0.355787625376934,0.62,0.684008035105542,1,0,0,1,request_confirmation,0,1
low_quality_artifact,242,99.0678194610176,2.48666967792461,0.690135658914729,0.716666666666667,0.942576790506099,0.678127203024989,0.468816701431531,0.62,0.707044257796178,1,0,0,1,request_confirmation,0,1
low_quality_artifact,243,99.4842118751659,2.49712282181079,0.64906746031746,0.6,0.917787249037927,0.709123781011695,0.579896436890226,0.62,0.74553885947212,1,0,0,1,request_confirmation,0,1
low_quality_artifact,244,99.9106675808428,2.50782859526163,0.661637931034483,0.666666666666667,0.890979138600739,0.732023066506053,0.632603170993782,0.62,0.758034060292052,1,0,0,1,request_confirmation,0,1
low_quality_artifact,245,100.291815938363,2.51739696991921,0.68088963963964,0.8,0.933368402455942,0.772977408163379,0.631815028247092,0.62,0.754348072774051,1,0,0,1,request_confirmation,0,1
low_quality_artifact,246,100.711568123085,2.52793445771761,0.5375,0.75,0.992666773743213,0.797083615277984,0.690095231546263,0.62,0.796476664832954,1,0,1,0,request_more_data,0,1
low_quality_artifact,247,101.180960616593,2.5397181192518,0.573651315789474,0.8,0.981032389400311,0.818876122738119,0.705734842690622,0.62,0.794348519111269,1,0,1,0,request_more_data,0,1
low_quality_artifact,248,101.653431774965,2.5515790678011,0.681791355857832,0.883333333333333,0.978866871592424,0.849818769884789,0.657232770342393,0.62,0.76130273164146,1,0,1,0,request_more_data,0,1
low_quality_artifact,249,102.048438020496,2.56149533183517,0.663931623931624,0.866666666666667,0.968695645847957,0.862715742117989,0.628283366757126,0.62,0.756411650384303,1,0,1,0,request_more_data,0,1
low_quality_artifact,250,102.488226477252,2.57253581158875,0.634506802721089,0.816666666666667,0.936207571406194,0.856151575794232,0.624862735811853,0.62,0.760750341537523,1,0,1,0,request_more_data,0,1
low_quality_artifact,251,102.950770832988,2.58414755699997,0.645414078674948,0.766666666666667,0.972019625440423,0.86047902287238,0.636736277881447,0.62,0.762111623645314,1,0,1,0,request_more_data,0,1
low_quality_artifact,252,103.380421181205,2.59493352897748,0.629116161616162,0.733333333333333,0.981031057207525,0.862833206941082,0.659197776122503,0.62,0.771334468223392,1,0,1,0,request_more_data,0,1
low_quality_artifact,253,103.809755924465,2.60571157798642,0.695609756097561,0.683333333333333,0.938070178326403,0.853900699731677,0.66438456779775,0.62,0.760817922885809,1,0,1,0,request_more_data,0,1
low_quality_artifact,254,104.248419533944,2.61672381949636,0.606538054968287,0.716666666666667,0.978202615632071,0.854999500569664,0.690120332548374,0.62,0.784056843219253,1,0,1,0,request_more_data,0,1
low_quality_artifact,255,104.651367359136,2.62683944949402,0.589138959931799,0.766666666666667,0.981034824425359,0.858126857668433,0.702104940061091,0.62,0.790544370429382,1,0,1,0,request_more_data,0,1
low_quality_artifact,256,105.08127979928,2.63763200104535,0.735670289855072,0.766666666666667,0.892240633286453,0.841908878516052,0.655014195515583,0.62,0.75098332257045,1,0,0,1,request_confirmation,0,1
low_quality_artifact,257,105.455767488933,2.64703316583734,0.676815476190476,0.8,0.911099749508796,0.836395258082782,0.634180821596617,0.62,0.755743844332767,1,0,0,1,request_confirmation,0,1
low_quality_artifact,258,105.890164750664,2.65793830465916,0.596288759689922,0.716666666666667,0.988116627179436,0.844378344557131,0.674461371143803,0.62,0.781517207176079,1,0,0,1,request_confirmation,0,1
low_quality_artifact,259,106.348434703686,2.6694427451698,0.537726480836237,0.683333333333333,0.995807933972571,0.845283651791418,0.727323583462774,0.62,0.806859836819054,1,0,0,1,request_confirmation,0,1
low_quality_artifact,260,106.775537002408,2.68016475073706,0.534130009775171,0.733333333333333,0.983675506215725,0.845875430544798,0.754175299397299,0.62,0.815025682071713,1,0,0,1,request_confirmation,0,1
low_quality_artifact,261,107.300670902059,2.69334774837593,0.639583333333333,0.75,0.944320286988919,0.844427651412436,0.733698276439272,0.62,0.790310517402996,1,0,0,1,request_confirmation,0,1
low_quality_artifact,262,107.695450781014,2.70325832968786,0.658295795795796,0.75,0.978522577493974,0.854377114332066,0.717636734211185,0.62,0.782445042335889,1,0,1,0,request_more_data,0,1
low_quality_artifact,263,108.140461190132,2.71442990169372,0.685975048449612,0.716666666666667,0.981023980171906,0.861563580509421,0.706088638103247,0.62,0.774229309947979,1,0,1,0,request_more_data,0,1
low_quality_artifact,264,108.593942446153,2.72581412642455,0.635416666666667,0.666666666666667,0.965530967755282,0.856261358244577,0.722169941461287,0.62,0.78783258360916,1,0,1,0,request_more_data,0,1
low_quality_artifact,265,108.96691020229,2.73517713470071,0.638665311653117,0.683333333333333,0.960276764217659,0.852285202048733,0.728617612422331,0.62,0.789053175380692,1,0,1,0,request_more_data,0,1
low_quality_artifact,266,109.40552573413,2.74618816926632,0.592979782107689,0.716666666666667,0.978525324484505,0.853006368098855,0.740456349241272,0.62,0.800591417008172,1,0,1,0,request_more_data,0,1
low_quality_artifact,267,109.83690766171,2.75701761093161,0.523333333333333,0.7,0.995370519212212,0.85145432613022,0.774257248770964,0.62,0.82259202965587,1,0,1,0,request_more_data,0,1
low_quality_artifact,268,110.298336169777,2.76860134402596,0.554169621749409,0.783333333333333,0.988754413434875,0.855879605897772,0.771004084999049,0.62,0.81613061188484,1,0,1,0,request_more_data,0,1
low_quality_artifact,269,110.818463288177,2.78165865108296,0.528031914893617,0.783333333333333,0.992213652253621,0.857762420529023,0.776726609924481,0.62,0.822437706098004,1,0,1,0,request_more_data,0,1
low_quality_artifact,270,111.277942911689,2.79319345924502,0.543989361702128,0.783333333333333,0.9976144008644,0.861712082465509,0.776307536213681,0.62,0.819448025033448,1,0,1,0,request_more_data,0,1
low_quality_artifact,271,111.79923429587,2.80627999411049,0.654924242424242,0.833333333333333,0.971335884907118,0.868458035609996,0.724788068956555,0.62,0.785054295671472,1,0,1,0,request_more_data,0,1
low_quality_artifact,272,112.302614383309,2.81891688254709,0.764735772357724,0.75,0.898756586460275,0.850971020773033,0.667166505558364,0.62,0.749154182531952,1,0,1,0,request_more_data,0,1
low_quality_artifact,273,112.718152119211,2.82934857053161,0.716130150958792,0.716666666666667,0.913775074020324,0.841391466344363,0.653463171682784,0.62,0.754066260898597,1,0,1,0,request_more_data,0,1
low_quality_artifact,274,113.153294093803,2.84027240467645,0.618130081300813,0.833333333333333,0.9787809252308,0.854610800634549,0.65172909360422,0.62,0.771220731575035,1,0,1,0,request_more_data,0,1
low_quality_artifact,275,113.581929241548,2.85103289099132,0.607209302325581,0.833333333333333,0.982974425904997,0.863686155133871,0.653114694920743,0.62,0.773574440159203,1,0,1,0,request_more_data,0,1
low_quality_artifact,276,114.020330628557,2.86203854965028,0.712251773049645,0.783333333333333,0.905548998177319,0.849486229199441,0.623132300714001,0.62,0.746271725050984,1,0,1,0,request_more_data,0,1
low_quality_artifact,277,114.469240008296,2.87330800168358,0.683930205949657,0.766666666666667,0.899258107136755,0.836670014872444,0.615758279208023,0.62,0.749304881107308,1,0,1,0,request_more_data,0,1
low_quality_artifact,278,114.922380107568,2.88468366199183,0.60449306551889,0.683333333333333,0.958609032051712,0.835923585113734,0.663304703146083,0.62,0.776916565087503,1,0,1,0,request_more_data,0,1
low_quality_artifact,279,115.373689266721,2.89601335825304,0.645357142857143,0.7,0.940609911263153,0.834309266842165,0.680067895215929,0.62,0.774254724946174,1,0,1,0,request_more_data,0,1
low_quality_artifact,280,115.788437164774,2.90642521809376,0.656876633072042,0.783333333333333,0.94139688465576,0.838726402019363,0.66741818711027,0.62,0.768639298437908,1,0,1,0,request_more_data,0,1
low_quality_artifact,281,116.238850785175,2.91773243268837,0.662083333333333,0.8,0.932756575871873,0.8402314227061,0.650760212342902,0.62,0.763037859456013,1,0,1,0,request_more_data,0,1
low_quality_artifact,282,116.700248081106,2.9293153822311,0.662080745341615,0.766666666666667,0.929192965499025,0.83847081688299,0.64695349950362,0.62,0.761972445699523,1,0,1,0,request_more_data,0,1
low_quality_artifact,283,117.163437888187,2.94094333109741,0.679211012564671,0.683333333333333,0.870244269574512,0.818151171758592,0.654637568796641,0.62,0.761040537001419,1,0,1,0,request_more_data,0,1
low_quality_artifact,284,117.564406041832,2.951009263284,0.641897321428571,0.7,0.929640990061159,0.818896024419131,0.675479922416552,0.62,0.773592860419492,1,0,1,0,request_more_data,0,1
